model_tag,src_char,tgt_char,m04_final_raw_count,new_count,delta_count
m04_glyph,1,7,3,2,-1
m04_glyph,6,8,3,2,-1
m04_glyph,8,3,3,2,-1
m04_glyph,7,0,1,0,-1
m04_glyph,9,7,1,0,-1
m04_glyph,8,6,10,10,0
m04_glyph,5,8,5,5,0
m04_glyph,0,1,4,4,0
m04_glyph,0,8,3,3,0
m04_glyph,1,0,3,3,0
m04_glyph,3,8,3,3,0
m04_glyph,9,5,3,3,0
m04_glyph,0,3,2,2,0
m04_glyph,0,9,2,2,0
m04_glyph,2,1,2,2,0
m04_glyph,2,3,2,2,0
m04_glyph,2,9,2,2,0
m04_glyph,3,5,2,2,0
m04_glyph,3,6,2,2,0
m04_glyph,5,6,2,2,0
m04_glyph,8,7,2,2,0
m04_glyph,8,9,2,2,0
m04_glyph,9,3,2,2,0
m04_glyph,9,6,2,2,0
m04_glyph,H,T,2,2,0
m04_glyph,台,金,2,2,0
m04_glyph,杭,姚,2,2,0
m04_glyph,盛,胜,2,2,0
m04_glyph,腾,鹏,2,2,0
m04_glyph,0,2,1,1,0
m04_glyph,1,2,1,1,0
m04_glyph,1,3,1,1,0
m04_glyph,1,6,1,1,0
m04_glyph,1,南,1,1,0
m04_glyph,2,6,1,1,0
m04_glyph,2,7,1,1,0
m04_glyph,2,8,1,1,0
m04_glyph,2,姑,1,1,0
m04_glyph,3,0,1,1,0
m04_glyph,3,7,1,1,0
m04_glyph,3,9,1,1,0
m04_glyph,5,2,1,1,0
m04_glyph,5,3,1,1,0
m04_glyph,5,塘,1,1,0
m04_glyph,6,1,1,1,0
m04_glyph,6,7,1,1,0
m04_glyph,7,2,1,1,0
m04_glyph,7,3,1,1,0
m04_glyph,7,8,1,1,0
m04_glyph,8,2,1,1,0
m04_glyph,9,0,1,1,0
m04_glyph,9,4,1,1,0
m04_glyph,E,A,1,1,0
m04_glyph,F,I,1,1,0
m04_glyph,G,I,1,1,0
m04_glyph,G,O,1,1,0
m04_glyph,G,Y,1,1,0
m04_glyph,H,Y,1,1,0
m04_glyph,I,1,1,1,0
m04_glyph,I,A,1,1,0
m04_glyph,I,H,1,1,0
m04_glyph,J,X,1,1,0
m04_glyph,N,9,1,1,0
m04_glyph,N,O,1,1,0
m04_glyph,O,A,1,1,0
m04_glyph,Q,S,1,1,0
m04_glyph,S,8,1,1,0
m04_glyph,U,I,1,1,0
m04_glyph,U,J,1,1,0
m04_glyph,U,X,1,1,0
m04_glyph,X,6,1,1,0
m04_glyph,X,I,1,1,0
m04_glyph,Y,A,1,1,0
m04_glyph,Z,U,1,1,0
m04_glyph,丰,翔,1,1,0
m04_glyph,云,淮,1,1,0
m04_glyph,信,泉,1,1,0
m04_glyph,兴,皖,1,1,0
m04_glyph,号,货,1,1,0
m04_glyph,周,皖,1,1,0
m04_glyph,垛,5,1,1,0
m04_glyph,城,淮,1,1,0
m04_glyph,埠,5,1,1,0
m04_glyph,富,亳,1,1,0
m04_glyph,富,海,1,1,0
m04_glyph,富,诸,1,1,0
m04_glyph,嵊,钱,1,1,0
m04_glyph,州,暨,1,1,0
m04_glyph,州,江,1,1,0
m04_glyph,平,富,1,1,0
m04_glyph,庄,兴,1,1,0
m04_glyph,日,阳,1,1,0
m04_glyph,昌,祥,1,1,0
m04_glyph,明,鸣,1,1,0
m04_glyph,机,瑞,1,1,0
m04_glyph,杭,泰,1,1,0
m04_glyph,杭,诸,1,1,0
m04_glyph,枣,绍,1,1,0
m04_glyph,柯,诸,1,1,0
m04_glyph,桥,暨,1,1,0
m04_glyph,正,五,1,1,0
m04_glyph,江,兴,1,1,0
m04_glyph,江,庐,1,1,0
m04_glyph,河,顺,1,1,0
m04_glyph,泓,盐,1,1,0
m04_glyph,泰,杭,1,1,0
m04_glyph,泽,庄,1,1,0
m04_glyph,浙,皖,1,1,0
m04_glyph,海,润,1,1,0
m04_glyph,润,河,1,1,0
m04_glyph,港,5,1,1,0
m04_glyph,港,洋,1,1,0
m04_glyph,港,货,1,1,0
m04_glyph,湖,阳,1,1,0
m04_glyph,皖,1,1,1,0
m04_glyph,盛,瑞,1,1,0
m04_glyph,祥,淮,1,1,0
m04_glyph,翔,货,1,1,0
m04_glyph,耀,润,1,1,0
m04_glyph,航,发,1,1,0
m04_glyph,舵,航,1,1,0
m04_glyph,菏,浙,1,1,0
m04_glyph,蚌,1,1,1,0
m04_glyph,豫,临,1,1,0
m04_glyph,豫,苏,1,1,0
m04_glyph,货,1,1,1,0
m04_glyph,货,艇,1,1,0
m04_glyph,通,鼎,1,1,0
m04_glyph,郎,朗,1,1,0
m04_glyph,金,皖,1,1,0
m04_glyph,钱,绍,1,1,0
m04_glyph,锡,佳,1,1,0
m04_glyph,阳,州,1,1,0
m04_glyph,阳,暨,1,1,0
m04_glyph,阳,盐,1,1,0
m04_glyph,集,联,1,1,0
m04_glyph,顺,永,1,1,0
m04_glyph,鲁,浙,1,1,0
m04_glyph,1,8,4,5,1
m04_glyph,6,0,3,4,1
m04_glyph,7,1,3,4,1
m04_glyph,6,3,1,2,1
m04_glyph,8,1,1,2,1
m04_glyph,9,8,1,2,1
m04_glyph,7,5,0,1,1
m04_joint,8,3,3,1,-2
m04_joint,8,6,10,9,-1
m04_joint,1,8,4,3,-1
m04_joint,0,2,1,0,-1
m04_joint,7,0,1,0,-1
m04_joint,5,8,5,5,0
m04_joint,0,8,3,3,0
m04_joint,1,7,3,3,0
m04_joint,3,8,3,3,0
m04_joint,6,0,3,3,0
m04_joint,6,8,3,3,0
m04_joint,9,5,3,3,0
m04_joint,0,3,2,2,0
m04_joint,2,1,2,2,0
m04_joint,2,3,2,2,0
m04_joint,2,9,2,2,0
m04_joint,3,5,2,2,0
m04_joint,3,6,2,2,0
m04_joint,5,6,2,2,0
m04_joint,8,7,2,2,0
m04_joint,8,9,2,2,0
m04_joint,9,3,2,2,0
m04_joint,9,6,2,2,0
m04_joint,H,T,2,2,0
m04_joint,台,金,2,2,0
m04_joint,杭,姚,2,2,0
m04_joint,盛,胜,2,2,0
m04_joint,腾,鹏,2,2,0
m04_joint,1,2,1,1,0
m04_joint,1,3,1,1,0
m04_joint,1,6,1,1,0
m04_joint,1,南,1,1,0
m04_joint,2,6,1,1,0
m04_joint,2,7,1,1,0
m04_joint,2,8,1,1,0
m04_joint,2,姑,1,1,0
m04_joint,3,0,1,1,0
m04_joint,3,7,1,1,0
m04_joint,3,9,1,1,0
m04_joint,5,2,1,1,0
m04_joint,5,3,1,1,0
m04_joint,5,塘,1,1,0
m04_joint,6,1,1,1,0
m04_joint,6,3,1,1,0
m04_joint,6,7,1,1,0
m04_joint,7,2,1,1,0
m04_joint,7,3,1,1,0
m04_joint,7,8,1,1,0
m04_joint,8,1,1,1,0
m04_joint,8,2,1,1,0
m04_joint,9,0,1,1,0
m04_joint,9,4,1,1,0
m04_joint,9,7,1,1,0
m04_joint,9,8,1,1,0
m04_joint,E,A,1,1,0
m04_joint,F,I,1,1,0
m04_joint,G,I,1,1,0
m04_joint,G,O,1,1,0
m04_joint,G,Y,1,1,0
m04_joint,H,Y,1,1,0
m04_joint,I,1,1,1,0
m04_joint,I,A,1,1,0
m04_joint,I,H,1,1,0
m04_joint,J,X,1,1,0
m04_joint,N,9,1,1,0
m04_joint,N,O,1,1,0
m04_joint,O,A,1,1,0
m04_joint,Q,S,1,1,0
m04_joint,S,8,1,1,0
m04_joint,U,I,1,1,0
m04_joint,U,J,1,1,0
m04_joint,U,X,1,1,0
m04_joint,X,6,1,1,0
m04_joint,X,I,1,1,0
m04_joint,Y,A,1,1,0
m04_joint,Z,U,1,1,0
m04_joint,丰,翔,1,1,0
m04_joint,云,淮,1,1,0
m04_joint,信,泉,1,1,0
m04_joint,兴,皖,1,1,0
m04_joint,号,货,1,1,0
m04_joint,周,皖,1,1,0
m04_joint,垛,5,1,1,0
m04_joint,城,淮,1,1,0
m04_joint,埠,5,1,1,0
m04_joint,富,亳,1,1,0
m04_joint,富,海,1,1,0
m04_joint,富,诸,1,1,0
m04_joint,嵊,钱,1,1,0
m04_joint,州,暨,1,1,0
m04_joint,州,江,1,1,0
m04_joint,平,富,1,1,0
m04_joint,庄,兴,1,1,0
m04_joint,日,阳,1,1,0
m04_joint,昌,祥,1,1,0
m04_joint,明,鸣,1,1,0
m04_joint,机,瑞,1,1,0
m04_joint,杭,泰,1,1,0
m04_joint,杭,诸,1,1,0
m04_joint,枣,绍,1,1,0
m04_joint,柯,诸,1,1,0
m04_joint,桥,暨,1,1,0
m04_joint,正,五,1,1,0
m04_joint,江,兴,1,1,0
m04_joint,江,庐,1,1,0
m04_joint,河,顺,1,1,0
m04_joint,泓,盐,1,1,0
m04_joint,泰,杭,1,1,0
m04_joint,泽,庄,1,1,0
m04_joint,浙,皖,1,1,0
m04_joint,海,润,1,1,0
m04_joint,润,河,1,1,0
m04_joint,港,5,1,1,0
m04_joint,港,洋,1,1,0
m04_joint,港,货,1,1,0
m04_joint,湖,阳,1,1,0
m04_joint,皖,1,1,1,0
m04_joint,盛,瑞,1,1,0
m04_joint,祥,淮,1,1,0
m04_joint,翔,货,1,1,0
m04_joint,耀,润,1,1,0
m04_joint,航,发,1,1,0
m04_joint,舵,航,1,1,0
m04_joint,菏,浙,1,1,0
m04_joint,蚌,1,1,1,0
m04_joint,豫,临,1,1,0
m04_joint,豫,苏,1,1,0
m04_joint,货,1,1,1,0
m04_joint,货,艇,1,1,0
m04_joint,通,鼎,1,1,0
m04_joint,郎,朗,1,1,0
m04_joint,金,皖,1,1,0
m04_joint,钱,绍,1,1,0
m04_joint,锡,佳,1,1,0
m04_joint,阳,州,1,1,0
m04_joint,阳,暨,1,1,0
m04_joint,阳,盐,1,1,0
m04_joint,集,联,1,1,0
m04_joint,顺,永,1,1,0
m04_joint,鲁,浙,1,1,0
m04_joint,0,1,4,5,1
m04_joint,1,0,3,4,1
m04_joint,7,1,3,4,1
m04_joint,0,9,2,3,1
m04_joint,0,5,0,1,1
m04_joint,7,5,0,1,1
m04_substitution,8,3,3,1,-2
m04_substitution,8,6,10,9,-1
m04_substitution,1,7,3,2,-1
m04_substitution,6,8,3,2,-1
m04_substitution,0,2,1,0,-1
m04_substitution,7,0,1,0,-1
m04_substitution,5,8,5,5,0
m04_substitution,1,8,4,4,0
m04_substitution,0,8,3,3,0
m04_substitution,3,8,3,3,0
m04_substitution,6,0,3,3,0
m04_substitution,9,5,3,3,0
m04_substitution,0,3,2,2,0
m04_substitution,2,1,2,2,0
m04_substitution,2,3,2,2,0
m04_substitution,2,9,2,2,0
m04_substitution,3,5,2,2,0
m04_substitution,3,6,2,2,0
m04_substitution,5,6,2,2,0
m04_substitution,8,7,2,2,0
m04_substitution,8,9,2,2,0
m04_substitution,9,3,2,2,0
m04_substitution,9,6,2,2,0
m04_substitution,H,T,2,2,0
m04_substitution,台,金,2,2,0
m04_substitution,杭,姚,2,2,0
m04_substitution,盛,胜,2,2,0
m04_substitution,腾,鹏,2,2,0
m04_substitution,1,2,1,1,0
m04_substitution,1,3,1,1,0
m04_substitution,1,6,1,1,0
m04_substitution,1,南,1,1,0
m04_substitution,2,6,1,1,0
m04_substitution,2,7,1,1,0
m04_substitution,2,8,1,1,0
m04_substitution,2,姑,1,1,0
m04_substitution,3,0,1,1,0
m04_substitution,3,7,1,1,0
m04_substitution,3,9,1,1,0
m04_substitution,5,2,1,1,0
m04_substitution,5,3,1,1,0
m04_substitution,5,塘,1,1,0
m04_substitution,6,1,1,1,0
m04_substitution,6,7,1,1,0
m04_substitution,7,2,1,1,0
m04_substitution,7,3,1,1,0
m04_substitution,7,8,1,1,0
m04_substitution,8,2,1,1,0
m04_substitution,9,0,1,1,0
m04_substitution,9,4,1,1,0
m04_substitution,9,7,1,1,0
m04_substitution,9,8,1,1,0
m04_substitution,E,A,1,1,0
m04_substitution,F,I,1,1,0
m04_substitution,G,I,1,1,0
m04_substitution,G,O,1,1,0
m04_substitution,G,Y,1,1,0
m04_substitution,H,Y,1,1,0
m04_substitution,I,1,1,1,0
m04_substitution,I,A,1,1,0
m04_substitution,I,H,1,1,0
m04_substitution,J,X,1,1,0
m04_substitution,N,9,1,1,0
m04_substitution,N,O,1,1,0
m04_substitution,O,A,1,1,0
m04_substitution,Q,S,1,1,0
m04_substitution,S,8,1,1,0
m04_substitution,U,I,1,1,0
m04_substitution,U,J,1,1,0
m04_substitution,U,X,1,1,0
m04_substitution,X,6,1,1,0
m04_substitution,X,I,1,1,0
m04_substitution,Y,A,1,1,0
m04_substitution,Z,U,1,1,0
m04_substitution,丰,翔,1,1,0
m04_substitution,云,淮,1,1,0
m04_substitution,信,泉,1,1,0
m04_substitution,兴,皖,1,1,0
m04_substitution,号,货,1,1,0
m04_substitution,周,皖,1,1,0
m04_substitution,垛,5,1,1,0
m04_substitution,城,淮,1,1,0
m04_substitution,埠,5,1,1,0
m04_substitution,富,亳,1,1,0
m04_substitution,富,海,1,1,0
m04_substitution,富,诸,1,1,0
m04_substitution,嵊,钱,1,1,0
m04_substitution,州,暨,1,1,0
m04_substitution,州,江,1,1,0
m04_substitution,平,富,1,1,0
m04_substitution,庄,兴,1,1,0
m04_substitution,日,阳,1,1,0
m04_substitution,昌,祥,1,1,0
m04_substitution,明,鸣,1,1,0
m04_substitution,机,瑞,1,1,0
m04_substitution,杭,泰,1,1,0
m04_substitution,杭,诸,1,1,0
m04_substitution,枣,绍,1,1,0
m04_substitution,柯,诸,1,1,0
m04_substitution,桥,暨,1,1,0
m04_substitution,正,五,1,1,0
m04_substitution,江,兴,1,1,0
m04_substitution,江,庐,1,1,0
m04_substitution,河,顺,1,1,0
m04_substitution,泓,盐,1,1,0
m04_substitution,泰,杭,1,1,0
m04_substitution,泽,庄,1,1,0
m04_substitution,浙,皖,1,1,0
m04_substitution,海,润,1,1,0
m04_substitution,润,河,1,1,0
m04_substitution,港,5,1,1,0
m04_substitution,港,洋,1,1,0
m04_substitution,港,货,1,1,0
m04_substitution,湖,阳,1,1,0
m04_substitution,皖,1,1,1,0
m04_substitution,盛,瑞,1,1,0
m04_substitution,祥,淮,1,1,0
m04_substitution,翔,货,1,1,0
m04_substitution,耀,润,1,1,0
m04_substitution,航,发,1,1,0
m04_substitution,舵,航,1,1,0
m04_substitution,菏,浙,1,1,0
m04_substitution,蚌,1,1,1,0
m04_substitution,豫,临,1,1,0
m04_substitution,豫,苏,1,1,0
m04_substitution,货,1,1,1,0
m04_substitution,货,艇,1,1,0
m04_substitution,通,鼎,1,1,0
m04_substitution,郎,朗,1,1,0
m04_substitution,金,皖,1,1,0
m04_substitution,钱,绍,1,1,0
m04_substitution,锡,佳,1,1,0
m04_substitution,阳,州,1,1,0
m04_substitution,阳,暨,1,1,0
m04_substitution,阳,盐,1,1,0
m04_substitution,集,联,1,1,0
m04_substitution,顺,永,1,1,0
m04_substitution,鲁,浙,1,1,0
m04_substitution,0,1,4,5,1
m04_substitution,1,0,3,4,1
m04_substitution,7,1,3,4,1
m04_substitution,0,9,2,3,1
m04_substitution,6,3,1,2,1
m04_substitution,8,1,1,2,1
m04_substitution,0,5,0,1,1
m04_substitution,7,5,0,1,1
